sentence,answer,name1,name2,verb,object,original_prediction,ablated_prediction,outcome,top_head_1,top_fallback_head_1
"When Alice and Bob went to the store, Alice tossed the ball to", Bob,Alice,Bob,tossed,the ball, Bob, her,determiner_or_possessive_fallback,"(9, 9)","(9, 7)"
"When Alice and Bob went to the store, Alice tossed the keys to", Bob,Alice,Bob,tossed,the keys, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Alice and Bob went to the store, Alice tossed the drink to", Bob,Alice,Bob,tossed,the drink, Bob, her,determiner_or_possessive_fallback,"(9, 9)","(9, 7)"
"When Alice and Bob went to the store, Alice tossed the cake to", Bob,Alice,Bob,tossed,the cake, Bob, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Alice and Bob went to the store, Alice tossed the letter to", Bob,Alice,Bob,tossed,the letter, Bob, her,determiner_or_possessive_fallback,"(9, 9)","(9, 7)"
"When Sam and Lily went to the store, Sam gave the ball to", Lily,Sam,Lily,gave,the ball, Lily, Lily,backup_rescue,"(9, 9)","(11, 2)"
"When Sam and Lily went to the store, Sam gave the keys to", Lily,Sam,Lily,gave,the keys, Lily, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Sam and Lily went to the store, Sam gave the drink to", Lily,Sam,Lily,gave,the drink, Lily, Lily,backup_rescue,"(9, 9)","(11, 2)"
"When Sam and Lily went to the store, Sam gave the cake to", Lily,Sam,Lily,gave,the cake, Lily, Lily,backup_rescue,"(9, 9)","(11, 2)"
"When Sam and Lily went to the store, Sam gave the letter to", Lily,Sam,Lily,gave,the letter, Lily, Lily,backup_rescue,"(9, 9)","(11, 2)"
"When Sam and Lily went to the store, Sam handed the ball to", Lily,Sam,Lily,handed,the ball, Lily, Lily,backup_rescue,"(9, 9)","(11, 2)"
"When Sam and Lily went to the store, Sam handed the keys to", Lily,Sam,Lily,handed,the keys, Lily, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Sam and Lily went to the store, Sam handed the drink to", Lily,Sam,Lily,handed,the drink, Lily, Lily,backup_rescue,"(9, 9)","(11, 2)"
"When Sam and Lily went to the store, Sam handed the cake to", Lily,Sam,Lily,handed,the cake, Lily, Lily,backup_rescue,"(9, 9)","(11, 2)"
"When Sam and Lily went to the store, Sam handed the letter to", Lily,Sam,Lily,handed,the letter, Lily, Lily,backup_rescue,"(9, 9)","(11, 2)"
"When Sam and Lily went to the store, Sam passed the ball to", Lily,Sam,Lily,passed,the ball, Lily, his,determiner_or_possessive_fallback,"(9, 9)","(10, 9)"
"When Sam and Lily went to the store, Sam passed the keys to", Lily,Sam,Lily,passed,the keys, Lily, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Sam and Lily went to the store, Sam passed the drink to", Lily,Sam,Lily,passed,the drink, Lily, Lily,backup_rescue,"(9, 9)","(11, 2)"
"When Sam and Lily went to the store, Sam passed the cake to", Lily,Sam,Lily,passed,the cake, Lily, Lily,backup_rescue,"(9, 9)","(11, 2)"
"When Sam and Lily went to the store, Sam passed the letter to", Lily,Sam,Lily,passed,the letter, Lily, his,determiner_or_possessive_fallback,"(9, 9)","(9, 7)"
"When Sam and Lily went to the store, Sam brought the ball to", Lily,Sam,Lily,brought,the ball, Lily, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Sam and Lily went to the store, Sam brought the keys to", Lily,Sam,Lily,brought,the keys, the, the,determiner_or_possessive_fallback,"(10, 0)","(11, 8)"
"When Sam and Lily went to the store, Sam brought the drink to", Lily,Sam,Lily,brought,the drink, Lily, them,pronoun_fallback,"(9, 9)","(11, 8)"
"When Sam and Lily went to the store, Sam brought the cake to", Lily,Sam,Lily,brought,the cake, Lily, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Sam and Lily went to the store, Sam brought the letter to", Lily,Sam,Lily,brought,the letter, Lily, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Sam and Lily went to the store, Sam tossed the ball to", Lily,Sam,Lily,tossed,the ball, Lily, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Sam and Lily went to the store, Sam tossed the keys to", Lily,Sam,Lily,tossed,the keys, the, the,determiner_or_possessive_fallback,"(10, 0)","(11, 8)"
"When Sam and Lily went to the store, Sam tossed the drink to", Lily,Sam,Lily,tossed,the drink, Lily, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Sam and Lily went to the store, Sam tossed the cake to", Lily,Sam,Lily,tossed,the cake, Lily, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Sam and Lily went to the store, Sam tossed the letter to", Lily,Sam,Lily,tossed,the letter, Lily, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Alex and Quinn went to the store, Alex gave the ball to", Quinn,Alex,Quinn,gave,the ball, Quinn, Quinn,backup_rescue,"(9, 6)","(11, 2)"
"When Alex and Quinn went to the store, Alex gave the keys to", Quinn,Alex,Quinn,gave,the keys, Quinn, Quinn,backup_rescue,"(9, 6)","(11, 2)"
"When Alex and Quinn went to the store, Alex gave the drink to", Quinn,Alex,Quinn,gave,the drink, Quinn, Quinn,backup_rescue,"(9, 6)","(11, 2)"
"When Alex and Quinn went to the store, Alex gave the cake to", Quinn,Alex,Quinn,gave,the cake, Quinn, Quinn,backup_rescue,"(9, 6)","(11, 2)"
"When Alex and Quinn went to the store, Alex gave the letter to", Quinn,Alex,Quinn,gave,the letter, Quinn, Quinn,backup_rescue,"(9, 6)","(11, 2)"
"When Alex and Quinn went to the store, Alex handed the ball to", Quinn,Alex,Quinn,handed,the ball, Quinn, Quinn,backup_rescue,"(9, 6)","(11, 2)"
"When Alex and Quinn went to the store, Alex handed the keys to", Quinn,Alex,Quinn,handed,the keys, Quinn, Quinn,backup_rescue,"(9, 6)","(11, 2)"
"When Alex and Quinn went to the store, Alex handed the drink to", Quinn,Alex,Quinn,handed,the drink, Quinn, Quinn,backup_rescue,"(9, 6)","(11, 2)"
"When Alex and Quinn went to the store, Alex handed the cake to", Quinn,Alex,Quinn,handed,the cake, Quinn, Quinn,backup_rescue,"(9, 6)","(11, 2)"
"When Alex and Quinn went to the store, Alex handed the letter to", Quinn,Alex,Quinn,handed,the letter, Quinn, Quinn,backup_rescue,"(9, 6)","(11, 2)"
"When Alex and Quinn went to the store, Alex passed the ball to", Quinn,Alex,Quinn,passed,the ball, Quinn, Quinn,backup_rescue,"(9, 9)","(11, 2)"
"When Alex and Quinn went to the store, Alex passed the keys to", Quinn,Alex,Quinn,passed,the keys, Quinn, the,determiner_or_possessive_fallback,"(9, 6)","(11, 8)"
"When Alex and Quinn went to the store, Alex passed the drink to", Quinn,Alex,Quinn,passed,the drink, Quinn, Quinn,backup_rescue,"(9, 6)","(11, 2)"
"When Alex and Quinn went to the store, Alex passed the cake to", Quinn,Alex,Quinn,passed,the cake, Quinn, Quinn,backup_rescue,"(9, 6)","(11, 2)"
"When Alex and Quinn went to the store, Alex passed the letter to", Quinn,Alex,Quinn,passed,the letter, Quinn, Quinn,backup_rescue,"(9, 6)","(11, 2)"
"When Alex and Quinn went to the store, Alex brought the ball to", Quinn,Alex,Quinn,brought,the ball, Quinn, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Alex and Quinn went to the store, Alex brought the keys to", Quinn,Alex,Quinn,brought,the keys, the, the,determiner_or_possessive_fallback,"(9, 6)","(11, 8)"
"When Alex and Quinn went to the store, Alex brought the drink to", Quinn,Alex,Quinn,brought,the drink, her, her,determiner_or_possessive_fallback,"(9, 9)","(10, 9)"
"When Alex and Quinn went to the store, Alex brought the cake to", Quinn,Alex,Quinn,brought,the cake, her, her,determiner_or_possessive_fallback,"(9, 9)","(10, 9)"
"When Alex and Quinn went to the store, Alex brought the letter to", Quinn,Alex,Quinn,brought,the letter, Quinn, her,determiner_or_possessive_fallback,"(9, 9)","(9, 7)"
"When Alex and Quinn went to the store, Alex tossed the ball to", Quinn,Alex,Quinn,tossed,the ball, Quinn, Quinn,backup_rescue,"(9, 9)","(11, 2)"
"When Alex and Quinn went to the store, Alex tossed the keys to", Quinn,Alex,Quinn,tossed,the keys, the, the,determiner_or_possessive_fallback,"(9, 6)","(11, 8)"
"When Alex and Quinn went to the store, Alex tossed the drink to", Quinn,Alex,Quinn,tossed,the drink, Quinn, Quinn,backup_rescue,"(9, 9)","(11, 2)"
"When Alex and Quinn went to the store, Alex tossed the cake to", Quinn,Alex,Quinn,tossed,the cake, Quinn, Quinn,backup_rescue,"(9, 9)","(11, 2)"
"When Alex and Quinn went to the store, Alex tossed the letter to", Quinn,Alex,Quinn,tossed,the letter, Quinn, her,determiner_or_possessive_fallback,"(9, 6)","(9, 7)"
"When Jack and Jill went to the store, Jack gave the ball to", Jill,Jack,Jill,gave,the ball, Jill, Jill,backup_rescue,"(9, 9)","(11, 2)"
"When Jack and Jill went to the store, Jack gave the keys to", Jill,Jack,Jill,gave,the keys, Jill, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Jack and Jill went to the store, Jack gave the drink to", Jill,Jack,Jill,gave,the drink, Jill, Jill,backup_rescue,"(9, 9)","(11, 2)"
"When Jack and Jill went to the store, Jack gave the cake to", Jill,Jack,Jill,gave,the cake, Jill, Jill,backup_rescue,"(9, 9)","(11, 2)"
"When Jack and Jill went to the store, Jack gave the letter to", Jill,Jack,Jill,gave,the letter, Jill, Jill,backup_rescue,"(9, 9)","(11, 2)"
"When Jack and Jill went to the store, Jack handed the ball to", Jill,Jack,Jill,handed,the ball, Jill, Jill,backup_rescue,"(9, 9)","(11, 2)"
"When Jack and Jill went to the store, Jack handed the keys to", Jill,Jack,Jill,handed,the keys, Jill, Jill,backup_rescue,"(9, 9)","(11, 2)"
"When Jack and Jill went to the store, Jack handed the drink to", Jill,Jack,Jill,handed,the drink, Jill, Jill,backup_rescue,"(9, 9)","(11, 2)"
"When Jack and Jill went to the store, Jack handed the cake to", Jill,Jack,Jill,handed,the cake, Jill, Jill,backup_rescue,"(9, 9)","(11, 2)"
"When Jack and Jill went to the store, Jack handed the letter to", Jill,Jack,Jill,handed,the letter, Jill, Jill,backup_rescue,"(9, 9)","(11, 2)"
"When Jack and Jill went to the store, Jack passed the ball to", Jill,Jack,Jill,passed,the ball, Jill, Jill,backup_rescue,"(9, 9)","(11, 2)"
"When Jack and Jill went to the store, Jack passed the keys to", Jill,Jack,Jill,passed,the keys, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Jack and Jill went to the store, Jack passed the drink to", Jill,Jack,Jill,passed,the drink, Jill, Jill,backup_rescue,"(9, 9)","(11, 2)"
"When Jack and Jill went to the store, Jack passed the cake to", Jill,Jack,Jill,passed,the cake, Jill, Jill,backup_rescue,"(9, 9)","(11, 2)"
"When Jack and Jill went to the store, Jack passed the letter to", Jill,Jack,Jill,passed,the letter, Jill, Jill,backup_rescue,"(9, 9)","(11, 2)"
"When Jack and Jill went to the store, Jack brought the ball to", Jill,Jack,Jill,brought,the ball, Jill, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Jack and Jill went to the store, Jack brought the keys to", Jill,Jack,Jill,brought,the keys, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Jack and Jill went to the store, Jack brought the drink to", Jill,Jack,Jill,brought,the drink, Jill, Jill,backup_rescue,"(9, 9)","(11, 2)"
"When Jack and Jill went to the store, Jack brought the cake to", Jill,Jack,Jill,brought,the cake, Jill, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Jack and Jill went to the store, Jack brought the letter to", Jill,Jack,Jill,brought,the letter, Jill, Jill,backup_rescue,"(9, 9)","(11, 2)"
"When Jack and Jill went to the store, Jack tossed the ball to", Jill,Jack,Jill,tossed,the ball, Jill, Jill,backup_rescue,"(9, 9)","(11, 2)"
"When Jack and Jill went to the store, Jack tossed the keys to", Jill,Jack,Jill,tossed,the keys, the, the,determiner_or_possessive_fallback,"(9, 6)","(11, 8)"
"When Jack and Jill went to the store, Jack tossed the drink to", Jill,Jack,Jill,tossed,the drink, Jill, Jill,backup_rescue,"(9, 9)","(11, 2)"
"When Jack and Jill went to the store, Jack tossed the cake to", Jill,Jack,Jill,tossed,the cake, Jill, Jill,backup_rescue,"(9, 9)","(11, 2)"
"When Jack and Jill went to the store, Jack tossed the letter to", Jill,Jack,Jill,tossed,the letter, Jill, Jill,backup_rescue,"(9, 9)","(11, 2)"
"When Ryan and Nolan went to the store, Ryan gave the ball to", Nolan,Ryan,Nolan,gave,the ball, Nolan, his,determiner_or_possessive_fallback,"(9, 9)","(9, 7)"
"When Ryan and Nolan went to the store, Ryan gave the keys to", Nolan,Ryan,Nolan,gave,the keys, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Ryan and Nolan went to the store, Ryan gave the drink to", Nolan,Ryan,Nolan,gave,the drink, Nolan, Nolan,backup_rescue,"(9, 9)","(11, 2)"
"When Ryan and Nolan went to the store, Ryan gave the cake to", Nolan,Ryan,Nolan,gave,the cake, Nolan, Nolan,backup_rescue,"(9, 9)","(11, 2)"
"When Ryan and Nolan went to the store, Ryan gave the letter to", Nolan,Ryan,Nolan,gave,the letter, Nolan, Nolan,backup_rescue,"(9, 9)","(11, 2)"
"When Ryan and Nolan went to the store, Ryan handed the ball to", Nolan,Ryan,Nolan,handed,the ball, Nolan, his,determiner_or_possessive_fallback,"(9, 9)","(9, 7)"
"When Ryan and Nolan went to the store, Ryan handed the keys to", Nolan,Ryan,Nolan,handed,the keys, Nolan, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Ryan and Nolan went to the store, Ryan handed the drink to", Nolan,Ryan,Nolan,handed,the drink, Nolan, his,determiner_or_possessive_fallback,"(9, 9)","(9, 7)"
"When Ryan and Nolan went to the store, Ryan handed the cake to", Nolan,Ryan,Nolan,handed,the cake, Nolan, Nolan,backup_rescue,"(9, 9)","(11, 2)"
"When Ryan and Nolan went to the store, Ryan handed the letter to", Nolan,Ryan,Nolan,handed,the letter, Nolan, Nolan,backup_rescue,"(9, 9)","(11, 2)"
"When Ryan and Nolan went to the store, Ryan passed the ball to", Nolan,Ryan,Nolan,passed,the ball, Nolan, his,determiner_or_possessive_fallback,"(9, 9)","(9, 7)"
"When Ryan and Nolan went to the store, Ryan passed the keys to", Nolan,Ryan,Nolan,passed,the keys, the, the,determiner_or_possessive_fallback,"(10, 0)","(11, 8)"
"When Ryan and Nolan went to the store, Ryan passed the drink to", Nolan,Ryan,Nolan,passed,the drink, Nolan, Nolan,backup_rescue,"(9, 9)","(11, 2)"
"When Ryan and Nolan went to the store, Ryan passed the cake to", Nolan,Ryan,Nolan,passed,the cake, Nolan, Nolan,backup_rescue,"(9, 9)","(11, 2)"
"When Ryan and Nolan went to the store, Ryan passed the letter to", Nolan,Ryan,Nolan,passed,the letter, Nolan, his,determiner_or_possessive_fallback,"(9, 9)","(9, 7)"
"When Ryan and Nolan went to the store, Ryan brought the ball to", Nolan,Ryan,Nolan,brought,the ball, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Ryan and Nolan went to the store, Ryan brought the keys to", Nolan,Ryan,Nolan,brought,the keys, the, the,determiner_or_possessive_fallback,"(10, 0)","(11, 8)"
"When Ryan and Nolan went to the store, Ryan brought the drink to", Nolan,Ryan,Nolan,brought,the drink, the, them,pronoun_fallback,"(9, 9)","(11, 8)"
"When Ryan and Nolan went to the store, Ryan brought the cake to", Nolan,Ryan,Nolan,brought,the cake, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Ryan and Nolan went to the store, Ryan brought the letter to", Nolan,Ryan,Nolan,brought,the letter, Nolan, them,pronoun_fallback,"(9, 9)","(11, 8)"
"When Ryan and Nolan went to the store, Ryan tossed the ball to", Nolan,Ryan,Nolan,tossed,the ball, Nolan, Nolan,backup_rescue,"(9, 9)","(11, 2)"
"When Ryan and Nolan went to the store, Ryan tossed the keys to", Nolan,Ryan,Nolan,tossed,the keys, the, the,determiner_or_possessive_fallback,"(10, 0)","(11, 8)"
"When Ryan and Nolan went to the store, Ryan tossed the drink to", Nolan,Ryan,Nolan,tossed,the drink, Nolan, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Ryan and Nolan went to the store, Ryan tossed the cake to", Nolan,Ryan,Nolan,tossed,the cake, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Ryan and Nolan went to the store, Ryan tossed the letter to", Nolan,Ryan,Nolan,tossed,the letter, Nolan, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When John and Mary went to the store, John gave the ball to", Mary,John,Mary,gave,the ball, Mary, Mary,backup_rescue,"(9, 9)","(10, 10)"
"When John and Mary went to the store, John gave the keys to", Mary,John,Mary,gave,the keys, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When John and Mary went to the store, John gave the drink to", Mary,John,Mary,gave,the drink, Mary, them,pronoun_fallback,"(9, 9)","(11, 8)"
"When John and Mary went to the store, John gave the cake to", Mary,John,Mary,gave,the cake, Mary, Mary,backup_rescue,"(9, 9)","(10, 2)"
"When John and Mary went to the store, John gave the letter to", Mary,John,Mary,gave,the letter, Mary, Mary,backup_rescue,"(9, 9)","(10, 2)"
"When John and Mary went to the store, John handed the ball to", Mary,John,Mary,handed,the ball, Mary, Mary,backup_rescue,"(9, 9)","(10, 2)"
"When John and Mary went to the store, John handed the keys to", Mary,John,Mary,handed,the keys, Mary, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When John and Mary went to the store, John handed the drink to", Mary,John,Mary,handed,the drink, Mary, Mary,backup_rescue,"(9, 9)","(10, 2)"
"When John and Mary went to the store, John handed the cake to", Mary,John,Mary,handed,the cake, Mary, Mary,backup_rescue,"(9, 9)","(10, 2)"
"When John and Mary went to the store, John handed the letter to", Mary,John,Mary,handed,the letter, Mary, Mary,backup_rescue,"(9, 9)","(10, 2)"
"When John and Mary went to the store, John passed the ball to", Mary,John,Mary,passed,the ball, Mary, Mary,backup_rescue,"(9, 9)","(10, 10)"
"When John and Mary went to the store, John passed the keys to", Mary,John,Mary,passed,the keys, the, the,determiner_or_possessive_fallback,"(10, 0)","(11, 8)"
"When John and Mary went to the store, John passed the drink to", Mary,John,Mary,passed,the drink, Mary, them,pronoun_fallback,"(9, 9)","(11, 8)"
"When John and Mary went to the store, John passed the cake to", Mary,John,Mary,passed,the cake, Mary, her,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When John and Mary went to the store, John passed the letter to", Mary,John,Mary,passed,the letter, Mary, Mary,backup_rescue,"(9, 9)","(10, 10)"
"When John and Mary went to the store, John brought the ball to", Mary,John,Mary,brought,the ball, Mary, them,pronoun_fallback,"(9, 9)","(11, 8)"
"When John and Mary went to the store, John brought the keys to", Mary,John,Mary,brought,the keys, the, the,determiner_or_possessive_fallback,"(10, 0)","(11, 8)"
"When John and Mary went to the store, John brought the drink to", Mary,John,Mary,brought,the drink, them, them,pronoun_fallback,"(9, 9)","(11, 8)"
"When John and Mary went to the store, John brought the cake to", Mary,John,Mary,brought,the cake, Mary, them,pronoun_fallback,"(9, 9)","(11, 8)"
"When John and Mary went to the store, John brought the letter to", Mary,John,Mary,brought,the letter, Mary, them,pronoun_fallback,"(9, 9)","(11, 8)"
"When John and Mary went to the store, John tossed the ball to", Mary,John,Mary,tossed,the ball, Mary, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When John and Mary went to the store, John tossed the keys to", Mary,John,Mary,tossed,the keys, the, the,determiner_or_possessive_fallback,"(10, 0)","(11, 8)"
"When John and Mary went to the store, John tossed the drink to", Mary,John,Mary,tossed,the drink, Mary, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When John and Mary went to the store, John tossed the cake to", Mary,John,Mary,tossed,the cake, Mary, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When John and Mary went to the store, John tossed the letter to", Mary,John,Mary,tossed,the letter, Mary, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Connor and Zach went to the store, Connor gave the ball to", Zach,Connor,Zach,gave,the ball, Zach, Zach,backup_rescue,"(9, 9)","(10, 0)"
"When Connor and Zach went to the store, Connor gave the keys to", Zach,Connor,Zach,gave,the keys, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)"
"When Connor and Zach went to the store, Connor gave the drink to", Zach,Connor,Zach,gave,the drink, Zach, Zach,backup_rescue,"(9, 9)","(10, 0)"
