sentence,answer,name1,name2,verb,object,original_prediction,ablated_prediction,outcome,top_head_1,top_fallback_head_1,grammatical_number
"When Tom and Sarah went to the store, Tom tossed the drinks to", Sarah,Tom,Sarah,tossed,the drinks, Sarah, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Tom and Sarah went to the store, Tom tossed the keys to", Sarah,Tom,Sarah,tossed,the keys, the, the,determiner_or_possessive_fallback,"(10, 0)","(11, 8)",plural
"When Alice and Bob went to the store, Alice gave the balls to", Bob,Alice,Bob,gave,the balls, Bob, Bob,backup_rescue,"(9, 9)","(10, 6)",plural
"When Alice and Bob went to the store, Alice gave the cakes to", Bob,Alice,Bob,gave,the cakes, Bob, Bob,backup_rescue,"(9, 9)","(10, 2)",plural
"When Alice and Bob went to the store, Alice gave the letters to", Bob,Alice,Bob,gave,the letters, Bob, Bob,backup_rescue,"(9, 9)","(10, 2)",plural
"When Alice and Bob went to the store, Alice gave the drinks to", Bob,Alice,Bob,gave,the drinks, Bob, Bob,backup_rescue,"(9, 9)","(10, 6)",plural
"When Alice and Bob went to the store, Alice gave the keys to", Bob,Alice,Bob,gave,the keys, Bob, Bob,backup_rescue,"(9, 9)","(11, 2)",plural
"When Alice and Bob went to the store, Alice handed the balls to", Bob,Alice,Bob,handed,the balls, Bob, Bob,backup_rescue,"(9, 9)","(10, 2)",plural
"When Alice and Bob went to the store, Alice handed the cakes to", Bob,Alice,Bob,handed,the cakes, Bob, Bob,backup_rescue,"(9, 9)","(10, 2)",plural
"When Alice and Bob went to the store, Alice handed the letters to", Bob,Alice,Bob,handed,the letters, Bob, Bob,backup_rescue,"(9, 9)","(10, 2)",plural
"When Alice and Bob went to the store, Alice handed the drinks to", Bob,Alice,Bob,handed,the drinks, Bob, Bob,backup_rescue,"(9, 9)","(10, 2)",plural
"When Alice and Bob went to the store, Alice handed the keys to", Bob,Alice,Bob,handed,the keys, Bob, Bob,backup_rescue,"(9, 9)","(10, 6)",plural
"When Alice and Bob went to the store, Alice passed the balls to", Bob,Alice,Bob,passed,the balls, Bob, Bob,backup_rescue,"(9, 9)","(10, 0)",plural
"When Alice and Bob went to the store, Alice passed the cakes to", Bob,Alice,Bob,passed,the cakes, Bob, Bob,backup_rescue,"(9, 9)","(11, 2)",plural
"When Alice and Bob went to the store, Alice passed the letters to", Bob,Alice,Bob,passed,the letters, Bob, Bob,backup_rescue,"(9, 9)","(10, 2)",plural
"When Alice and Bob went to the store, Alice passed the drinks to", Bob,Alice,Bob,passed,the drinks, Bob, Bob,backup_rescue,"(9, 9)","(11, 2)",plural
"When Alice and Bob went to the store, Alice passed the keys to", Bob,Alice,Bob,passed,the keys, Bob, Bob,backup_rescue,"(9, 9)","(11, 2)",plural
"When Alice and Bob went to the store, Alice brought the balls to", Bob,Alice,Bob,brought,the balls, Bob, her,determiner_or_possessive_fallback,"(9, 9)","(9, 7)",plural
"When Alice and Bob went to the store, Alice brought the cakes to", Bob,Alice,Bob,brought,the cakes, Bob, her,determiner_or_possessive_fallback,"(9, 9)","(9, 7)",plural
"When Alice and Bob went to the store, Alice brought the letters to", Bob,Alice,Bob,brought,the letters, Bob, her,determiner_or_possessive_fallback,"(9, 9)","(9, 7)",plural
"When Alice and Bob went to the store, Alice brought the drinks to", Bob,Alice,Bob,brought,the drinks, Bob, her,determiner_or_possessive_fallback,"(9, 9)","(10, 9)",plural
"When Alice and Bob went to the store, Alice brought the keys to", Bob,Alice,Bob,brought,the keys, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Alice and Bob went to the store, Alice tossed the balls to", Bob,Alice,Bob,tossed,the balls, Bob, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Alice and Bob went to the store, Alice tossed the cakes to", Bob,Alice,Bob,tossed,the cakes, Bob, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Alice and Bob went to the store, Alice tossed the letters to", Bob,Alice,Bob,tossed,the letters, Bob, her,determiner_or_possessive_fallback,"(9, 9)","(9, 7)",plural
"When Alice and Bob went to the store, Alice tossed the drinks to", Bob,Alice,Bob,tossed,the drinks, Bob, Bob,backup_rescue,"(9, 9)","(11, 2)",plural
"When Alice and Bob went to the store, Alice tossed the keys to", Bob,Alice,Bob,tossed,the keys, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Sam and Lily went to the store, Sam gave the balls to", Lily,Sam,Lily,gave,the balls, Lily, Lily,backup_rescue,"(9, 9)","(11, 2)",plural
"When Sam and Lily went to the store, Sam gave the cakes to", Lily,Sam,Lily,gave,the cakes, Lily, Lily,backup_rescue,"(9, 9)","(11, 2)",plural
"When Sam and Lily went to the store, Sam gave the letters to", Lily,Sam,Lily,gave,the letters, Lily, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Sam and Lily went to the store, Sam gave the drinks to", Lily,Sam,Lily,gave,the drinks, Lily, Lily,backup_rescue,"(9, 9)","(11, 2)",plural
"When Sam and Lily went to the store, Sam gave the keys to", Lily,Sam,Lily,gave,the keys, Lily, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Sam and Lily went to the store, Sam handed the balls to", Lily,Sam,Lily,handed,the balls, Lily, Lily,backup_rescue,"(9, 9)","(11, 2)",plural
"When Sam and Lily went to the store, Sam handed the cakes to", Lily,Sam,Lily,handed,the cakes, Lily, Lily,backup_rescue,"(9, 9)","(11, 2)",plural
"When Sam and Lily went to the store, Sam handed the letters to", Lily,Sam,Lily,handed,the letters, Lily, Lily,backup_rescue,"(9, 9)","(11, 2)",plural
"When Sam and Lily went to the store, Sam handed the drinks to", Lily,Sam,Lily,handed,the drinks, Lily, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Sam and Lily went to the store, Sam handed the keys to", Lily,Sam,Lily,handed,the keys, Lily, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Sam and Lily went to the store, Sam passed the balls to", Lily,Sam,Lily,passed,the balls, Lily, Lily,backup_rescue,"(9, 9)","(11, 2)",plural
"When Sam and Lily went to the store, Sam passed the cakes to", Lily,Sam,Lily,passed,the cakes, Lily, Lily,backup_rescue,"(9, 9)","(11, 2)",plural
"When Sam and Lily went to the store, Sam passed the letters to", Lily,Sam,Lily,passed,the letters, Lily, his,determiner_or_possessive_fallback,"(9, 9)","(9, 7)",plural
"When Sam and Lily went to the store, Sam passed the drinks to", Lily,Sam,Lily,passed,the drinks, Lily, Lily,backup_rescue,"(9, 9)","(11, 2)",plural
"When Sam and Lily went to the store, Sam passed the keys to", Lily,Sam,Lily,passed,the keys, Lily, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Sam and Lily went to the store, Sam brought the balls to", Lily,Sam,Lily,brought,the balls, Lily, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Sam and Lily went to the store, Sam brought the cakes to", Lily,Sam,Lily,brought,the cakes, Lily, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Sam and Lily went to the store, Sam brought the letters to", Lily,Sam,Lily,brought,the letters, Lily, them,pronoun_fallback,"(9, 9)","(11, 8)",plural
"When Sam and Lily went to the store, Sam brought the drinks to", Lily,Sam,Lily,brought,the drinks, Lily, them,pronoun_fallback,"(9, 9)","(11, 8)",plural
"When Sam and Lily went to the store, Sam brought the keys to", Lily,Sam,Lily,brought,the keys, the, the,determiner_or_possessive_fallback,"(10, 0)","(11, 8)",plural
"When Sam and Lily went to the store, Sam tossed the balls to", Lily,Sam,Lily,tossed,the balls, Lily, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Sam and Lily went to the store, Sam tossed the cakes to", Lily,Sam,Lily,tossed,the cakes, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Sam and Lily went to the store, Sam tossed the letters to", Lily,Sam,Lily,tossed,the letters, Lily, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Sam and Lily went to the store, Sam tossed the drinks to", Lily,Sam,Lily,tossed,the drinks, Lily, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Sam and Lily went to the store, Sam tossed the keys to", Lily,Sam,Lily,tossed,the keys, the, the,determiner_or_possessive_fallback,"(10, 0)","(11, 8)",plural
"When Alex and Quinn went to the store, Alex gave the balls to", Quinn,Alex,Quinn,gave,the balls, Quinn, Quinn,backup_rescue,"(9, 6)","(11, 2)",plural
"When Alex and Quinn went to the store, Alex gave the cakes to", Quinn,Alex,Quinn,gave,the cakes, Quinn, Quinn,backup_rescue,"(9, 6)","(11, 2)",plural
"When Alex and Quinn went to the store, Alex gave the letters to", Quinn,Alex,Quinn,gave,the letters, Quinn, Quinn,backup_rescue,"(9, 6)","(11, 2)",plural
"When Alex and Quinn went to the store, Alex gave the drinks to", Quinn,Alex,Quinn,gave,the drinks, Quinn, Quinn,backup_rescue,"(9, 6)","(11, 2)",plural
"When Alex and Quinn went to the store, Alex gave the keys to", Quinn,Alex,Quinn,gave,the keys, Quinn, Quinn,backup_rescue,"(9, 6)","(11, 2)",plural
"When Alex and Quinn went to the store, Alex handed the balls to", Quinn,Alex,Quinn,handed,the balls, Quinn, Quinn,backup_rescue,"(9, 6)","(11, 2)",plural
"When Alex and Quinn went to the store, Alex handed the cakes to", Quinn,Alex,Quinn,handed,the cakes, Quinn, Quinn,backup_rescue,"(9, 6)","(11, 2)",plural
"When Alex and Quinn went to the store, Alex handed the letters to", Quinn,Alex,Quinn,handed,the letters, Quinn, Quinn,backup_rescue,"(9, 6)","(11, 2)",plural
"When Alex and Quinn went to the store, Alex handed the drinks to", Quinn,Alex,Quinn,handed,the drinks, Quinn, Quinn,backup_rescue,"(9, 6)","(11, 2)",plural
"When Alex and Quinn went to the store, Alex handed the keys to", Quinn,Alex,Quinn,handed,the keys, Quinn, Quinn,backup_rescue,"(9, 6)","(11, 2)",plural
"When Alex and Quinn went to the store, Alex passed the balls to", Quinn,Alex,Quinn,passed,the balls, Quinn, Quinn,backup_rescue,"(9, 6)","(11, 2)",plural
"When Alex and Quinn went to the store, Alex passed the cakes to", Quinn,Alex,Quinn,passed,the cakes, Quinn, Quinn,backup_rescue,"(9, 6)","(11, 2)",plural
"When Alex and Quinn went to the store, Alex passed the letters to", Quinn,Alex,Quinn,passed,the letters, Quinn, Quinn,backup_rescue,"(9, 6)","(11, 2)",plural
"When Alex and Quinn went to the store, Alex passed the drinks to", Quinn,Alex,Quinn,passed,the drinks, Quinn, Quinn,backup_rescue,"(9, 6)","(11, 2)",plural
"When Alex and Quinn went to the store, Alex passed the keys to", Quinn,Alex,Quinn,passed,the keys, Quinn, the,determiner_or_possessive_fallback,"(9, 6)","(11, 8)",plural
"When Alex and Quinn went to the store, Alex brought the balls to", Quinn,Alex,Quinn,brought,the balls, Quinn, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Alex and Quinn went to the store, Alex brought the cakes to", Quinn,Alex,Quinn,brought,the cakes, her, her,determiner_or_possessive_fallback,"(9, 9)","(10, 9)",plural
"When Alex and Quinn went to the store, Alex brought the letters to", Quinn,Alex,Quinn,brought,the letters, Quinn, her,determiner_or_possessive_fallback,"(9, 6)","(9, 7)",plural
"When Alex and Quinn went to the store, Alex brought the drinks to", Quinn,Alex,Quinn,brought,the drinks, her, her,determiner_or_possessive_fallback,"(9, 9)","(10, 9)",plural
"When Alex and Quinn went to the store, Alex brought the keys to", Quinn,Alex,Quinn,brought,the keys, the, the,determiner_or_possessive_fallback,"(9, 6)","(11, 8)",plural
"When Alex and Quinn went to the store, Alex tossed the balls to", Quinn,Alex,Quinn,tossed,the balls, Quinn, Quinn,backup_rescue,"(9, 9)","(11, 2)",plural
"When Alex and Quinn went to the store, Alex tossed the cakes to", Quinn,Alex,Quinn,tossed,the cakes, Quinn, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Alex and Quinn went to the store, Alex tossed the letters to", Quinn,Alex,Quinn,tossed,the letters, Quinn, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Alex and Quinn went to the store, Alex tossed the drinks to", Quinn,Alex,Quinn,tossed,the drinks, Quinn, Quinn,backup_rescue,"(9, 9)","(11, 2)",plural
"When Alex and Quinn went to the store, Alex tossed the keys to", Quinn,Alex,Quinn,tossed,the keys, the, the,determiner_or_possessive_fallback,"(9, 6)","(11, 8)",plural
"When Jack and Jill went to the store, Jack gave the balls to", Jill,Jack,Jill,gave,the balls, Jill, Jill,backup_rescue,"(9, 9)","(11, 2)",plural
"When Jack and Jill went to the store, Jack gave the cakes to", Jill,Jack,Jill,gave,the cakes, Jill, Jill,backup_rescue,"(9, 9)","(11, 2)",plural
"When Jack and Jill went to the store, Jack gave the letters to", Jill,Jack,Jill,gave,the letters, Jill, Jill,backup_rescue,"(9, 9)","(11, 2)",plural
"When Jack and Jill went to the store, Jack gave the drinks to", Jill,Jack,Jill,gave,the drinks, Jill, Jill,backup_rescue,"(9, 9)","(11, 2)",plural
"When Jack and Jill went to the store, Jack gave the keys to", Jill,Jack,Jill,gave,the keys, Jill, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Jack and Jill went to the store, Jack handed the balls to", Jill,Jack,Jill,handed,the balls, Jill, Jill,backup_rescue,"(9, 9)","(11, 2)",plural
"When Jack and Jill went to the store, Jack handed the cakes to", Jill,Jack,Jill,handed,the cakes, Jill, Jill,backup_rescue,"(9, 9)","(11, 2)",plural
"When Jack and Jill went to the store, Jack handed the letters to", Jill,Jack,Jill,handed,the letters, Jill, Jill,backup_rescue,"(9, 9)","(11, 2)",plural
"When Jack and Jill went to the store, Jack handed the drinks to", Jill,Jack,Jill,handed,the drinks, Jill, Jill,backup_rescue,"(9, 9)","(11, 2)",plural
"When Jack and Jill went to the store, Jack handed the keys to", Jill,Jack,Jill,handed,the keys, Jill, Jill,backup_rescue,"(9, 9)","(11, 2)",plural
"When Jack and Jill went to the store, Jack passed the balls to", Jill,Jack,Jill,passed,the balls, Jill, Jill,backup_rescue,"(9, 9)","(11, 2)",plural
"When Jack and Jill went to the store, Jack passed the cakes to", Jill,Jack,Jill,passed,the cakes, Jill, Jill,backup_rescue,"(9, 9)","(11, 2)",plural
"When Jack and Jill went to the store, Jack passed the letters to", Jill,Jack,Jill,passed,the letters, Jill, Jill,backup_rescue,"(9, 9)","(11, 2)",plural
"When Jack and Jill went to the store, Jack passed the drinks to", Jill,Jack,Jill,passed,the drinks, Jill, Jill,backup_rescue,"(9, 9)","(11, 2)",plural
"When Jack and Jill went to the store, Jack passed the keys to", Jill,Jack,Jill,passed,the keys, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Jack and Jill went to the store, Jack brought the balls to", Jill,Jack,Jill,brought,the balls, Jill, Jill,backup_rescue,"(9, 9)","(11, 2)",plural
"When Jack and Jill went to the store, Jack brought the cakes to", Jill,Jack,Jill,brought,the cakes, Jill, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Jack and Jill went to the store, Jack brought the letters to", Jill,Jack,Jill,brought,the letters, Jill, Jill,backup_rescue,"(9, 9)","(11, 2)",plural
"When Jack and Jill went to the store, Jack brought the drinks to", Jill,Jack,Jill,brought,the drinks, Jill, Jill,backup_rescue,"(9, 9)","(11, 2)",plural
"When Jack and Jill went to the store, Jack brought the keys to", Jill,Jack,Jill,brought,the keys, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Jack and Jill went to the store, Jack tossed the balls to", Jill,Jack,Jill,tossed,the balls, Jill, Jill,backup_rescue,"(9, 9)","(11, 2)",plural
"When Jack and Jill went to the store, Jack tossed the cakes to", Jill,Jack,Jill,tossed,the cakes, Jill, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Jack and Jill went to the store, Jack tossed the letters to", Jill,Jack,Jill,tossed,the letters, Jill, Jill,backup_rescue,"(9, 9)","(11, 2)",plural
"When Jack and Jill went to the store, Jack tossed the drinks to", Jill,Jack,Jill,tossed,the drinks, Jill, Jill,backup_rescue,"(9, 9)","(11, 2)",plural
"When Jack and Jill went to the store, Jack tossed the keys to", Jill,Jack,Jill,tossed,the keys, the, the,determiner_or_possessive_fallback,"(9, 6)","(11, 8)",plural
"When Ryan and Nolan went to the store, Ryan gave the balls to", Nolan,Ryan,Nolan,gave,the balls, Nolan, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Ryan and Nolan went to the store, Ryan gave the cakes to", Nolan,Ryan,Nolan,gave,the cakes, Nolan, his,determiner_or_possessive_fallback,"(9, 9)","(9, 7)",plural
"When Ryan and Nolan went to the store, Ryan gave the letters to", Nolan,Ryan,Nolan,gave,the letters, Nolan, Nolan,backup_rescue,"(9, 9)","(11, 2)",plural
"When Ryan and Nolan went to the store, Ryan gave the drinks to", Nolan,Ryan,Nolan,gave,the drinks, Nolan, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Ryan and Nolan went to the store, Ryan gave the keys to", Nolan,Ryan,Nolan,gave,the keys, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Ryan and Nolan went to the store, Ryan handed the balls to", Nolan,Ryan,Nolan,handed,the balls, Nolan, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Ryan and Nolan went to the store, Ryan handed the cakes to", Nolan,Ryan,Nolan,handed,the cakes, Nolan, his,determiner_or_possessive_fallback,"(9, 9)","(9, 7)",plural
"When Ryan and Nolan went to the store, Ryan handed the letters to", Nolan,Ryan,Nolan,handed,the letters, Nolan, Nolan,backup_rescue,"(9, 9)","(11, 2)",plural
"When Ryan and Nolan went to the store, Ryan handed the drinks to", Nolan,Ryan,Nolan,handed,the drinks, Nolan, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Ryan and Nolan went to the store, Ryan handed the keys to", Nolan,Ryan,Nolan,handed,the keys, Nolan, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Ryan and Nolan went to the store, Ryan passed the balls to", Nolan,Ryan,Nolan,passed,the balls, Nolan, Nolan,backup_rescue,"(9, 9)","(11, 2)",plural
"When Ryan and Nolan went to the store, Ryan passed the cakes to", Nolan,Ryan,Nolan,passed,the cakes, Nolan, his,determiner_or_possessive_fallback,"(9, 9)","(9, 7)",plural
"When Ryan and Nolan went to the store, Ryan passed the letters to", Nolan,Ryan,Nolan,passed,the letters, Nolan, his,determiner_or_possessive_fallback,"(9, 9)","(9, 7)",plural
"When Ryan and Nolan went to the store, Ryan passed the drinks to", Nolan,Ryan,Nolan,passed,the drinks, Nolan, Nolan,backup_rescue,"(9, 9)","(11, 2)",plural
"When Ryan and Nolan went to the store, Ryan passed the keys to", Nolan,Ryan,Nolan,passed,the keys, the, the,determiner_or_possessive_fallback,"(10, 0)","(11, 8)",plural
"When Ryan and Nolan went to the store, Ryan brought the balls to", Nolan,Ryan,Nolan,brought,the balls, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Ryan and Nolan went to the store, Ryan brought the cakes to", Nolan,Ryan,Nolan,brought,the cakes, the, the,determiner_or_possessive_fallback,"(10, 0)","(11, 8)",plural
"When Ryan and Nolan went to the store, Ryan brought the letters to", Nolan,Ryan,Nolan,brought,the letters, Nolan, them,pronoun_fallback,"(9, 9)","(11, 8)",plural
"When Ryan and Nolan went to the store, Ryan brought the drinks to", Nolan,Ryan,Nolan,brought,the drinks, the, the,determiner_or_possessive_fallback,"(10, 0)","(11, 8)",plural
"When Ryan and Nolan went to the store, Ryan brought the keys to", Nolan,Ryan,Nolan,brought,the keys, the, the,determiner_or_possessive_fallback,"(10, 0)","(11, 8)",plural
"When Ryan and Nolan went to the store, Ryan tossed the balls to", Nolan,Ryan,Nolan,tossed,the balls, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Ryan and Nolan went to the store, Ryan tossed the cakes to", Nolan,Ryan,Nolan,tossed,the cakes, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Ryan and Nolan went to the store, Ryan tossed the letters to", Nolan,Ryan,Nolan,tossed,the letters, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Ryan and Nolan went to the store, Ryan tossed the drinks to", Nolan,Ryan,Nolan,tossed,the drinks, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When Ryan and Nolan went to the store, Ryan tossed the keys to", Nolan,Ryan,Nolan,tossed,the keys, the, the,determiner_or_possessive_fallback,"(10, 0)","(11, 8)",plural
"When John and Mary went to the store, John gave the balls to", Mary,John,Mary,gave,the balls, Mary, them,pronoun_fallback,"(9, 9)","(11, 8)",plural
"When John and Mary went to the store, John gave the cakes to", Mary,John,Mary,gave,the cakes, Mary, them,pronoun_fallback,"(9, 9)","(10, 9)",plural
"When John and Mary went to the store, John gave the letters to", Mary,John,Mary,gave,the letters, Mary, Mary,backup_rescue,"(9, 9)","(10, 2)",plural
"When John and Mary went to the store, John gave the drinks to", Mary,John,Mary,gave,the drinks, Mary, them,pronoun_fallback,"(9, 9)","(11, 8)",plural
"When John and Mary went to the store, John gave the keys to", Mary,John,Mary,gave,the keys, the, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When John and Mary went to the store, John handed the balls to", Mary,John,Mary,handed,the balls, Mary, Mary,backup_rescue,"(9, 9)","(10, 2)",plural
"When John and Mary went to the store, John handed the cakes to", Mary,John,Mary,handed,the cakes, Mary, Mary,backup_rescue,"(9, 9)","(10, 2)",plural
"When John and Mary went to the store, John handed the letters to", Mary,John,Mary,handed,the letters, Mary, them,pronoun_fallback,"(9, 9)","(10, 9)",plural
"When John and Mary went to the store, John handed the drinks to", Mary,John,Mary,handed,the drinks, Mary, them,pronoun_fallback,"(9, 9)","(10, 9)",plural
"When John and Mary went to the store, John handed the keys to", Mary,John,Mary,handed,the keys, Mary, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When John and Mary went to the store, John passed the balls to", Mary,John,Mary,passed,the balls, Mary, them,pronoun_fallback,"(9, 9)","(11, 8)",plural
"When John and Mary went to the store, John passed the cakes to", Mary,John,Mary,passed,the cakes, Mary, them,pronoun_fallback,"(9, 9)","(11, 8)",plural
"When John and Mary went to the store, John passed the letters to", Mary,John,Mary,passed,the letters, Mary, them,pronoun_fallback,"(9, 9)","(10, 9)",plural
"When John and Mary went to the store, John passed the drinks to", Mary,John,Mary,passed,the drinks, Mary, them,pronoun_fallback,"(9, 9)","(11, 8)",plural
"When John and Mary went to the store, John passed the keys to", Mary,John,Mary,passed,the keys, the, the,determiner_or_possessive_fallback,"(10, 0)","(11, 8)",plural
"When John and Mary went to the store, John brought the balls to", Mary,John,Mary,brought,the balls, Mary, them,pronoun_fallback,"(9, 9)","(11, 8)",plural
"When John and Mary went to the store, John brought the cakes to", Mary,John,Mary,brought,the cakes, Mary, them,pronoun_fallback,"(9, 9)","(11, 8)",plural
"When John and Mary went to the store, John brought the letters to", Mary,John,Mary,brought,the letters, Mary, them,pronoun_fallback,"(9, 9)","(10, 9)",plural
"When John and Mary went to the store, John brought the drinks to", Mary,John,Mary,brought,the drinks, them, them,pronoun_fallback,"(9, 9)","(11, 8)",plural
"When John and Mary went to the store, John brought the keys to", Mary,John,Mary,brought,the keys, the, the,determiner_or_possessive_fallback,"(10, 0)","(11, 8)",plural
"When John and Mary went to the store, John tossed the balls to", Mary,John,Mary,tossed,the balls, Mary, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
"When John and Mary went to the store, John tossed the cakes to", Mary,John,Mary,tossed,the cakes, Mary, the,determiner_or_possessive_fallback,"(9, 9)","(11, 8)",plural
